route_id,service_id,trip_id,trip_headsign,direction_id
60,0000000062013091120140627,0001591032013091120140627,Verla,1
60,0000000022013091120140627,0001591042013091120140627,Verla,1
60,0000000052013091120140627,0001591052013091120140627,Palu' di Giovo,0
60,0000000042013091120140627,0001591062013091120140627,Palu' di Giovo,0
60,0000000092013091120140627,0001591072013091120140627,Palu' di Giovo,0
60,0000000052013091120140627,0001591082013091120140627,Palu' di Giovo,0
60,0000000052013091120140627,0001591092013091120140627,Palu' di Giovo,0
60,0000000022013091120140627,0001591102013091120140627,Palu' di Giovo,0
60,0000000042013091120140627,0001591112013091120140627,Palu' di Giovo,0
60,0000000042013091120140627,0001591122013091120140627,Palu' di Giovo,0
618,0000000022013091120140627,0001591142013091120140627,Mis,0
618,0000000022013091120140627,0001591152013091120140627,Sagron,1
340,0000000022013091120140627,0001591232013091120140627,Mezzocorona-Staz.Fs,1
340,0000000052013091120140627,0001591252013091120140627,Mezzolombardo,1
340,0000000022013091120140627,0001591262013091120140627,Mezzolombardo,1
